Alert ID,Ticker,Name,Description,Time,DaTE,ime,Column1
3785401065,"BINANCE:KMNOUSDT, 28m",BINANCE:KMNOUSDT 28m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T15:24:01Z"",

  ""exchange"": ""BINANCE"",
  ""symbol"": ""KMNOUSDT"",
  ""timeframe"": ""28"",

  ""action"": ""sell"",
  ""order_id"": ""Close position order"",
  ""contracts"": ""195312"",

  ""close"": ""0.05178"",
  ""position_side"": ""flat"",
  ""position_qty"": ""0""
}

",2026-01-21T15:24:01Z,21/01/2026,15:24:01Z,SELL
3785392290,"BINANCE:KMNOUSDT, 18m",BINANCE:KMNOUSDT 18m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T15:18:01Z"",

  ""exchange"": ""BINANCE"",
  ""symbol"": ""KMNOUSDT"",
  ""timeframe"": ""18"",

  ""action"": ""sell"",
  ""order_id"": ""Close position order"",
  ""contracts"": ""389148"",

  ""close"": ""0.05181"",
  ""position_side"": ""flat"",
  ""position_qty"": ""0""
}

",2026-01-21T15:18:02Z,21/01/2026,15:18:02Z,SELL
3779147633,"BINANCE:DGBUSDT, 61m",BINANCE:DGBUSDT 61m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T15:15:17Z"",

  ""exchange"": ""BINANCE"",
  ""symbol"": ""DGBUSDT"",
  ""timeframe"": ""61"",

  ""action"": ""sell"",
  ""order_id"": ""Close position order"",
  ""contracts"": ""4833203"",

  ""close"": ""0.00628"",
  ""position_side"": ""flat"",
  ""position_qty"": ""0""
}

",2026-01-21T15:15:17Z,21/01/2026,15:15:17Z,SELL
3784603617,"BINANCE:DGBUSDT, 61m",BINANCE:DGBUSDT 61m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T15:15:17Z"",

  ""exchange"": ""BINANCE"",
  ""symbol"": ""DGBUSDT"",
  ""timeframe"": ""61"",

  ""action"": ""sell"",
  ""order_id"": ""Close position order"",
  ""contracts"": ""4833203"",

  ""close"": ""0.00628"",
  ""position_side"": ""flat"",
  ""position_qty"": ""0""
}
",2026-01-21T15:15:17Z,21/01/2026,15:15:17Z,SELL
3784247454,"BINANCE:MDTUSDT, 53m",BINANCE:MDTUSDT 53m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T15:01:01Z"",

  ""exchange"": ""BINANCE"",
  ""symbol"": ""MDTUSDT"",
  ""timeframe"": ""53"",

  ""action"": ""sell"",
  ""order_id"": ""Close position order"",
  ""contracts"": ""815660"",

  ""close"": ""0.01246"",
  ""position_side"": ""flat"",
  ""position_qty"": ""0""
}

",2026-01-21T15:01:01Z,21/01/2026,15:01:01Z,SELL
3785824480,"BINANCE:SHELLUSDT, 37m",BINANCE:SHELLUSDT 37m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T14:48:32Z"",

  ""exchange"": ""BINANCE"",
  ""symbol"": ""SHELLUSDT"",
  ""timeframe"": ""37"",

  ""action"": ""sell"",
  ""order_id"": ""Close position order"",
  ""contracts"": ""785421"",

  ""close"": ""0.0517"",
  ""position_side"": ""flat"",
  ""position_qty"": ""0""
}

",2026-01-21T14:48:32Z,21/01/2026,14:48:32Z,SELL
3784521140,"BINANCE:NEXOUSDT, 22m",BINANCE:NEXOUSDT 22m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T14:40:02Z"",

  ""exchange"": ""BINANCE"",
  ""symbol"": ""NEXOUSDT"",
  ""timeframe"": ""22"",

  ""action"": ""sell"",
  ""order_id"": ""Close position order"",
  ""contracts"": ""11001"",

  ""close"": ""0.923"",
  ""position_side"": ""flat"",
  ""position_qty"": ""0""
}

",2026-01-21T14:40:02Z,21/01/2026,14:40:02Z,SELL
3784318500,"BINANCE:NEXOUSDT, 25m",BINANCE:NEXOUSDT 25m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T14:35:06Z"",

  ""exchange"": ""BINANCE"",
  ""symbol"": ""NEXOUSDT"",
  ""timeframe"": ""25"",

  ""action"": ""sell"",
  ""order_id"": ""Close position order"",
  ""contracts"": ""10934"",

  ""close"": ""0.923"",
  ""position_side"": ""flat"",
  ""position_qty"": ""0""
}

",2026-01-21T14:35:06Z,21/01/2026,14:35:06Z,SELL
3785088600,"BINANCE:HBARUSDT, 30m",BINANCE:HBARUSDT 30m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T14:30:01Z"",

  ""exchange"": ""BINANCE"",
  ""symbol"": ""HBARUSDT"",
  ""timeframe"": ""30"",

  ""action"": ""sell"",
  ""order_id"": ""Close position order"",
  ""contracts"": ""92841"",

  ""close"": ""0.10936"",
  ""position_side"": ""flat"",
  ""position_qty"": ""0""
}

",2026-01-21T14:30:01Z,21/01/2026,14:30:01Z,SELL
3780762380,"KUCOIN:VRAUSDT, 61m",KUCOIN:VRAUSDT 61m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T14:18:03Z"",

  ""exchange"": ""KUCOIN"",
  ""symbol"": ""VRAUSDT"",
  ""timeframe"": ""61"",

  ""action"": ""sell"",
  ""order_id"": ""Close position order"",
  ""contracts"": ""108932461"",

  ""close"": ""0.0000925"",
  ""position_side"": ""flat"",
  ""position_qty"": ""0""
}

",2026-01-21T14:18:03Z,21/01/2026,14:18:03Z,SELL
